,Date,Price,Open,High,Low,Volume,Change(%)
221,17 Nov 2023,3502.45,3497.85,3524.50,3492.55,2021292,0.13%
222,16 Nov 2023,3497.85,3430.05,3529.35,3414.20,3951984,2.75%
223,15 Nov 2023,3404.30,3383.10,3413.00,3356.05,2059802,2.18%
224,13 Nov 2023,3331.55,3356.00,3356.00,3327.00,1030990,-0.77%
225,12 Nov 2023,3357.30,3350.00,3359.00,3345.00,173346,0.72%
226,10 Nov 2023,3333.45,3338.00,3347.45,3322.35,1338557,-0.42%
227,09 Nov 2023,3347.45,3390.10,3391.50,3342.05,2112352,-1.01%
228,08 Nov 2023,3381.55,3371.45,3401.95,3369.55,992899,0.33%
229,07 Nov 2023,3370.45,3378.00,3404.15,3366.00,1191144,-0.29%
230,06 Nov 2023,3380.25,3375.00,3392.30,3359.00,1099852,0.88%
231,03 Nov 2023,3350.90,3382.00,3387.90,3344.30,1402598,-0.27%
232,02 Nov 2023,3360.10,3343.20,3375.95,3343.20,1245384,0.88%
233,01 Nov 2023,3330.65,3355.00,3371.60,3311.00,1563475,-1.13%
234,31 Oct 2023,3368.75,3399.00,3399.00,3350.05,999811,-0.29%
235,30 Oct 2023,3378.55,3350.00,3382.85,3333.75,910972,0.82%
236,27 Oct 2023,3350.95,3350.00,3362.00,3337.00,1108851,0.43%
237,26 Oct 2023,3336.75,3368.05,3373.70,3330.00,1984471,-1.57%
238,25 Oct 2023,3390.10,3390.50,3425.00,3377.20,1518537,-0.59%
239,23 Oct 2023,3410.15,3473.00,3478.95,3401.30,1106272,-2.42%
240,20 Oct 2023,3494.55,3450.40,3499.50,3444.05,1481211,1.13%
241,19 Oct 2023,3455.65,3469.50,3476.85,3451.90,1514545,-0.91%
242,18 Oct 2023,3487.25,3511.00,3522.70,3484.00,1408245,-0.56%
243,17 Oct 2023,3507.05,3530.00,3534.15,3503.35,1672065,-0.48%
244,16 Oct 2023,3524.05,3566.00,3574.65,3519.10,1671104,-1.31%
245,13 Oct 2023,3570.85,3530.00,3577.00,3525.00,2890357,0.80%
246,12 Oct 2023,3542.55,3575.00,3588.65,3538.10,4241281,-1.87%
247,11 Oct 2023,3609.90,3650.00,3650.00,3605.00,2426417,-0.52%
248,10 Oct 2023,3628.90,3640.05,3648.00,3601.35,1848148,-0.26%
249,09 Oct 2023,3638.35,3645.05,3679.00,3631.00,4233074,0.47%
250,06 Oct 2023,3621.40,3591.00,3634.95,3575.05,2075691,0.89%
251,05 Oct 2023,3589.35,3554.00,3624.00,3551.20,2990768,1.46%
252,04 Oct 2023,3537.75,3486.30,3548.00,3477.30,1788138,0.68%
253,03 Oct 2023,3513.85,3534.20,3534.20,3480.10,1948148,-0.42%
254,29 Sep 2023,3528.60,3537.20,3568.45,3505.55,2243791,-0.23%
255,28 Sep 2023,3536.75,3600.00,3602.80,3527.35,1755753,-1.46%
256,27 Sep 2023,3589.30,3590.00,3614.00,3555.70,1541134,0.10%
257,26 Sep 2023,3585.70,3567.60,3594.95,3536.00,1726062,0.24%
258,25 Sep 2023,3577.15,3602.50,3620.00,3558.65,1238778,-0.74%
259,22 Sep 2023,3603.65,3584.00,3633.75,3565.05,1989083,0.51%
260,21 Sep 2023,3585.30,3588.55,3605.00,3528.00,2004073,-0.58%
261,20 Sep 2023,3606.05,3580.00,3625.00,3580.00,1649396,0.00%
262,18 Sep 2023,3606.15,3580.05,3619.30,3575.25,1395753,0.22%
263,15 Sep 2023,3598.30,3567.85,3607.35,3562.45,2952897,1.07%
264,14 Sep 2023,3560.05,3570.05,3597.70,3545.60,2604721,-0.22%
265,13 Sep 2023,3567.85,3571.10,3588.85,3545.00,1754929,-0.36%
266,12 Sep 2023,3580.80,3492.00,3589.90,3483.00,4476016,2.88%
267,11 Sep 2023,3480.65,3462.00,3485.70,3445.00,1783604,1.13%
268,08 Sep 2023,3441.90,3455.25,3465.00,3435.05,1518917,-0.39%
269,07 Sep 2023,3455.25,3430.80,3460.00,3422.30,1885092,0.74%
270,06 Sep 2023,3429.90,3434.00,3443.90,3398.10,1314818,0.02%
271,05 Sep 2023,3429.35,3420.00,3447.00,3405.15,1501842,0.32%
272,04 Sep 2023,3418.50,3378.00,3432.85,3370.05,1828332,1.16%
273,01 Sep 2023,3379.20,3366.00,3389.00,3356.80,1277950,0.67%
274,31 Aug 2023,3356.80,3401.00,3417.40,3343.65,3417652,-1.01%
275,30 Aug 2023,3390.95,3398.00,3408.10,3383.05,1188200,0.44%
276,29 Aug 2023,3376.15,3381.05,3389.55,3365.00,944517,0.02%
277,28 Aug 2023,3375.55,3394.00,3394.00,3360.10,1037485,-0.17%
278,25 Aug 2023,3381.30,3375.00,3385.80,3350.25,1158046,-0.19%
279,24 Aug 2023,3387.75,3408.00,3413.05,3378.10,1152881,-0.31%
280,23 Aug 2023,3398.25,3388.00,3402.00,3376.00,1330046,0.48%
281,22 Aug 2023,3382.15,3400.00,3411.00,3365.05,1222012,-0.57%
282,21 Aug 2023,3401.65,3375.00,3409.75,3372.00,1375579,1.03%
283,18 Aug 2023,3367.10,3410.00,3410.00,3356.50,2526749,-2.00%
284,17 Aug 2023,3435.75,3455.00,3460.80,3413.20,1843241,-0.65%
285,16 Aug 2023,3458.40,3450.00,3466.00,3435.20,1328445,0.25%
286,14 Aug 2023,3449.85,3440.70,3455.00,3411.00,1190425,0.03%
287,11 Aug 2023,3448.80,3438.10,3466.65,3414.00,1679974,0.19%
288,10 Aug 2023,3442.10,3450.00,3464.90,3430.05,1096701,-0.59%
289,09 Aug 2023,3462.50,3464.90,3467.00,3425.05,1794589,-0.23%
290,08 Aug 2023,3470.60,3484.05,3489.95,3456.60,1634225,-0.39%
291,07 Aug 2023,3484.05,3453.95,3488.00,3441.25,1853889,1.18%
292,04 Aug 2023,3443.55,3401.25,3471.00,3401.25,2248493,1.28%
293,03 Aug 2023,3399.95,3420.00,3433.25,3368.00,2026351,-1.18%
294,02 Aug 2023,3440.65,3434.95,3446.40,3413.60,1914899,-0.33%
295,01 Aug 2023,3452.05,3415.00,3460.00,3415.00,1956167,0.89%
296,31 Jul 2023,3421.45,3364.40,3426.65,3360.90,2743678,1.97%
297,28 Jul 2023,3355.40,3385.00,3393.70,3331.00,2599831,-1.22%
298,27 Jul 2023,3396.90,3394.95,3411.65,3385.05,1701769,0.25%
299,26 Jul 2023,3388.30,3400.35,3420.85,3385.00,1066803,-0.32%
300,25 Jul 2023,3399.15,3397.50,3406.80,3380.20,1272980,0.13%
